name,displaylogic,displaylogic_server,displaylogicgrid,readonlylogic,columnname
Client,,,,@Processed@='Y',AD_Client_ID
Organization,,,,@Processed@='Y',AD_Org_ID
Movement Date,,,,@Processed@='Y',MovementDate
User/Contact,,,,@Processed@='Y',AD_User_ID
Business Partner,,,,@Processed@='Y' | @HAS_M_INOUTLINES@='Y',C_BPartner_ID
Partner Address,,,,@Processed@='Y',C_BPartner_Location_ID
Charge,,,,@Processed@='Y',C_Charge_ID
Document Type,,,,@Processed@='Y',C_DocType_ID
Charge Amount,,,,@Processed@='Y',ChargeAmt
Accounting Date,,,,@Posted@='Y',DateAcct
Document No.,,,,@Processed@='Y',DocumentNo
Freight Amount,@FreightCostRule@='F' | @FreightCostRule@='C',,,,FreightAmt
Warehouse,,,,@Processed@='Y',M_Warehouse_ID
Priority,,,,@Processed@='Y',PriorityRule
Shipping Company,@DeliveryViaRule@='Y' | @FreightCostRule@='C',,,@Processed@='Y',M_Shipper_ID
Process Shipment,@DocStatus@!'CL'&@DocStatus@!'VO',,,,DocAction
Create Lines From,@Processed@='N',,,,CreateFrom
Generate Invoice from Receipt,@Processed@='Y',,,,GenerateTo
Posted,@Processed@='Y' & @#ShowAcct@='Y',,,,Posted
Pick Date,,,,@Processed@='Y',PickDate
Ship Date,,,,@Processed@='Y',ShipDate
2nd Dimension,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',User2_ID
1st Dimension,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',User1_ID
Sales Campaign,@$Element_MC@='Y',,,@Posted@='Y',C_Campaign_ID
Project,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',C_Project_ID
Calculate Freight Amount,@FreightCostRule@='C',,,,Calculate_Freight
Asset,@$Element_AS@='Y',,,@Posted@='Y',A_Asset_ID
Process Shipment Java,@DocStatus@!'CL'&@DocStatus@!'VO',,,,Process_Goods_Java
Cost Center,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',C_Costcenter_ID
Delivery Terms,@MovementType@='C-',,,@Processed@='Y',DeliveryRule
Delivery Method,@MovementType@='C-',,,@Processed@='Y',DeliveryViaRule
Company Agent,,,,@Processed@='Y',SalesRep_ID
Number of Packages,@FreightCostRule@='C',,,,NoPackages
Activity,@$Element_AY@='Y',,,@Posted@='Y',C_Activity_ID
Trx Organization,@$Element_OT@='Y',,,@Processed@='Y',AD_OrgTrx_ID
Freight Category,@FreightCostRule@='C',,,,M_FreightCategory_ID
Freight Currency,@FreightCostRule@='F' | @FreightCostRule@='C',,,,Freight_Currency_ID
Organization,@ACCT_DIMENSION_DISPLAY@,,,@Processed@='Y',AD_Org_ID
Storage Bin,,,,@Processed@='Y',M_Locator_ID
Product,,,,@Processed@='Y',M_Product_ID
Movement Quantity,,,,@Processed@='Y' | @UomManagement@='Y',MovementQty
UOM,,,,@UomManagement@='Y',C_UOM_ID
Line No.,,,,@Processed@='Y',Line
Attribute Set Value,(@ATTRIBUTESET@!''&@ATTRSETVALUETYPE@!'F')|(@M_AttributeSetInstance_ID@!''&@M_AttributeSetInstance_ID@!'0'),,,@Processed@='Y',M_AttributeSetInstance_ID
Order UOM,(@HASSECONDUOM@=1 & @UomManagement@!'Y')  | (@UomManagement@='Y' & @M_Product_Uom_Id@!''),,,@Processed@='Y',M_Product_Uom_Id
