ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,entity_classname,entity_alias,entity_javapackage,ad_field_id,field_name,isdisplayed,isreadonly,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3477,Organization,Y,N,,,,10,AD_Org_ID,19,Y,N,@#AD_Org_ID@,22,,,,@Processed@='Y',TableDir,org.openbravo.erpCommon.ad_callouts.SE_InOut_Organization
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3496,Document No.,Y,N,,,,20,DocumentNo,10,Y,Y,,30,,,,@Processed@='Y',String,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3489,Document Type,Y,N,,,,30,C_DocType_ID,18,Y,Y,,22,,,125,@Processed@='Y',Table,org.openbravo.erpCommon.ad_callouts.SE_InOut_DocType
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3501,Warehouse,Y,N,,,,40,M_Warehouse_ID,95E2A8B50A254B2AAE6774B8C2F28120,Y,Y,,22,,,,@Processed@='Y',OBUISEL_Selector Reference,org.openbravo.erpCommon.ad_callouts.SE_InOut_Warehouse
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3486,Business Partner,Y,N,,,,50,C_BPartner_ID,30,Y,Y,,60,,,,@Processed@='Y' | @HAS_M_INOUTLINES@='Y',Search,org.openbravo.erpCommon.ad_callouts.SL_InOut_BPartner
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3487,Partner Address,Y,N,,,,60,C_BPartner_Location_ID,19,Y,Y,,22,,,167,@Processed@='Y',TableDir,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3481,Movement Date,Y,N,,,,70,MovementDate,15,Y,Y,@#Date@,10,,,,@Processed@='Y',Date,org.openbravo.erpCommon.ad_callouts.SL_InOut_AccountingDate
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3493,Accounting Date,Y,N,,,,80,DateAcct,15,Y,Y,@#Date@,10,,,,@Posted@='Y',Date,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3490,Purchase Order,Y,Y,,,,90,C_Order_ID,30,N,N,,60,,,,,Search,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3502,Order Reference,Y,N,,,,100,POReference,10,N,Y,,20,,,,,String,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3478,Description,Y,N,,,,110,Description,14,N,Y,,255,,,,,Text,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3505,Document Status,N,Y,,,,120,DocStatus,17,Y,N,DR,60,,,,,List,
184,Goods Receipt,296,Header,0,10,"M_InOut.MovementType IN ('V-', 'V+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('V-', 'V+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3485,User/Contact,N,N,,,,180,AD_User_ID,19,N,Y,,22,,,123,@Processed@='Y',TableDir,
