ad_callout_id,callout_name,callout_class,columnname,ad_table_id
104,SE_InOut_DocType,org.openbravo.erpCommon.ad_callouts.SE_InOut_DocType,C_DocType_ID,319
122,SL_InOut_BPartner,org.openbravo.erpCommon.ad_callouts.SL_InOut_BPartner,C_BPartner_ID,319
123,SL_InOut_Conversion,org.openbravo.erpCommon.ad_callouts.SL_InOut_Conversion,QuantityOrder,320
123,SL_InOut_Conversion,org.openbravo.erpCommon.ad_callouts.SL_InOut_Conversion,M_Product_Uom_Id,320
124,SL_InOutLine_Product,org.openbravo.erpCommon.ad_callouts.SL_InOutLine_Product,M_Product_ID,320
1AB9BD3356D643A79C058AA3B4EB175E,OperativeQuantity_To_BaseQuantity,org.openbravo.erpCommon.ad_callouts.OperativeQuantity_To_BaseQuantity,C_Aum,320
1AB9BD3356D643A79C058AA3B4EB175E,OperativeQuantity_To_BaseQuantity,org.openbravo.erpCommon.ad_callouts.OperativeQuantity_To_BaseQuantity,Aumqty,320
34E49A1D878545F294A45AB233D64983,SE_InOut_Warehouse,org.openbravo.erpCommon.ad_callouts.SE_InOut_Warehouse,M_Warehouse_ID,319
30F26E853A7241C394D67F910A87F3EF,SL_InOut_AccountingDate,org.openbravo.erpCommon.ad_callouts.SL_InOut_AccountingDate,MovementDate,319
4AB185365A514877A227785855B795E3,SE_InOut_Organization,org.openbravo.erpCommon.ad_callouts.SE_InOut_Organization,AD_Org_ID,319
