name,displaylogic,displaylogic_server,displaylogicgrid,readonlylogic,columnname
Client,,,,@Processed@='Y',AD_Client_ID
Organization,,,,@Processed@='Y',AD_Org_ID
Movement Date,,,,@Processed@='Y',MovementDate
Business Partner,,,,@Processed@='Y' | @HAS_M_INOUTLINES@='Y',C_BPartner_ID
Partner Address,,,,@Processed@='Y',C_BPartner_Location_ID
Charge,,,,@Processed@='Y',C_Charge_ID
Document Type,,,,@Processed@='Y',C_DocType_ID
Charge Amount,,,,@Processed@='Y',ChargeAmt
Accounting Date,,,,@Posted@='Y',DateAcct
Delivery Terms,@MovementType@='C-',,,@Processed@='Y',DeliveryRule
Delivery Method,@MovementType@='C-',,,@Processed@='Y',DeliveryViaRule
Document No.,,,,@Processed@='Y',DocumentNo
Shipping Company,@DeliveryViaRule@='S' | @FreightCostRule@='C',,,@Processed@='Y',M_Shipper_ID
Warehouse,,,,@Processed@='Y',M_Warehouse_ID
Priority,,,,@Processed@='Y',PriorityRule
Process Shipment,@DocStatus@!'CL'&@DocStatus@!'VO',,,,DocAction
Create Lines From,@Processed@='N',,,,CreateFrom
Posted,@Processed@='Y' & @#ShowAcct@='Y',,,,Posted
Ship Date,@DeliveryViaRule@='S',,,@Processed@='Y',ShipDate
Pick Date,,,,@Processed@='Y',PickDate
2nd Dimension,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',User2_ID
1st Dimension,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',User1_ID
Sales Campaign,@$Element_MC@='Y',,,@Posted@='Y',C_Campaign_ID
Project,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',C_Project_ID
Trx Organization,@$Element_OT@='Y',,,@Processed@='Y',AD_OrgTrx_ID
Freight Category,@FreightCostRule@='F' | @FreightCostRule@='C',,,,M_FreightCategory_ID
Calculate Freight Amount,@FreightCostRule@='F' | @FreightCostRule@='C',,,,Calculate_Freight
CRM Reference,@BPartner_ExtRef@!'',,,,Bpartner_Extref
Asset,@$Element_AS@='Y',,,@Posted@='Y',A_Asset_ID
Cost Center,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',C_Costcenter_ID
Process Shipment Java,@DocStatus@!'CL'&@DocStatus@!'VO',,,,Process_Goods_Java
Generate Invoice from Shipment,@DocStatus@='CO' & @Iscompletelyinvoiced@='N',,,,Invoicefromshipment
User/Contact,,,,@Processed@='Y',AD_User_ID
Freight Amount,@FreightCostRule@='F' | @FreightCostRule@='C',,,,FreightAmt
Sales Representative,,,,@Processed@='Y',SalesRep_ID
Tracking No,@DeliveryViaRule@='S',,,,TrackingNo
Activity,@$Element_AY@='Y',,,@Posted@='Y',C_Activity_ID
Freight Currency,@FreightCostRule@='F' | @FreightCostRule@='C',,,,Freight_Currency_ID
Organization,@ACCT_DIMENSION_DISPLAY@,,,@Processed@='Y',AD_Org_ID
Storage Bin,,,,@Processed@='Y',M_Locator_ID
Product,,,,@Processed@='Y',M_Product_ID
Movement Quantity,,,,@Processed@='Y' | @UomManagement@='Y',MovementQty
UOM,,,,@UomManagement@='Y',C_UOM_ID
Line No.,,,,@Processed@='Y',Line
Attribute Set Value,(@ATTRIBUTESET@!''&@ATTRSETVALUETYPE@!'F')|(@M_AttributeSetInstance_ID@!''&@M_AttributeSetInstance_ID@!'0'),,,@Processed@='Y',M_AttributeSetInstance_ID
Order UOM,(@HASSECONDUOM@=1 & @UomManagement@!'Y')  | (@UomManagement@='Y' & @M_Product_Uom_Id@!''),,,@Processed@='Y',M_Product_Uom_Id
Order Quantity,(@HASSECONDUOM@=1 & @UomManagement@!'Y')  | (@UomManagement@='Y' & @M_Product_Uom_Id@!''),,,@Processed@='Y',QuantityOrder
Alternative UOM,@M_Product_Uom_Id@='',@UomManagement@='Y',,@Processed@='Y',C_Aum
Operative Quantity,@M_Product_Uom_Id@='',@UomManagement@='Y',,@Processed@='Y',Aumqty
Cost Center,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',C_Costcenter_ID
Project,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',C_Project_ID
Asset,@$Element_AS@='Y',,,@Posted@='Y',A_Asset_ID
2nd Dimension,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',User2_ID
Explode,@IsStocked@='N' & @isBOM@='Y' & @explode@!'Y' & @Processed@='N',,,,Explode
Invoiced Quantity,@Processed@='Y',,,,Qtyinvoiced
Business Partner,,,,@Posted@='Y',C_Bpartner_ID
1st Dimension,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',User1_ID
Quantity,,,,@Posted@='Y',Quantity
Organization,@ACCT_DIMENSION_DISPLAY@,,,,AD_Org_ID
2nd Dimension,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',User2_ID
Product,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',M_Product_ID
Sales Campaign,@$Element_MC@='Y',,,@Posted@='Y',C_Campaign_ID
Active,,,,@Posted@='Y',Isactive
Asset,@$Element_AS@='Y',,,@Posted@='Y',A_Asset_ID
Cost Center,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',C_Costcenter_ID
Project,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',C_Project_ID
Activity,@$Element_AY@='Y',,,@Posted@='Y',C_Activity_ID
1st Dimension,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',User1_ID
Business Partner,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',C_Bpartner_ID
