ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,entity_classname,entity_alias,entity_javapackage,ad_field_id,field_name,isdisplayed,isreadonly,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
169,Goods Shipment,257,Header,0,10,"M_InOut.MovementType IN ('C-', 'C+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('C-', 'C+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,2701,Organization,Y,N,,,,10,AD_Org_ID,19,Y,N,@#AD_Org_ID@,22,,,,@Processed@='Y',TableDir,org.openbravo.erpCommon.ad_callouts.SE_InOut_Organization
169,Goods Shipment,257,Header,0,10,"M_InOut.MovementType IN ('C-', 'C+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('C-', 'C+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,2931,Document Type,Y,N,,,,20,C_DocType_ID,18,Y,Y,,22,,,125,@Processed@='Y',Table,org.openbravo.erpCommon.ad_callouts.SE_InOut_DocType
169,Goods Shipment,257,Header,0,10,"M_InOut.MovementType IN ('C-', 'C+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('C-', 'C+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,2938,Document No.,Y,N,,,,30,DocumentNo,10,Y,Y,,30,,,,@Processed@='Y',String,
169,Goods Shipment,257,Header,0,10,"M_InOut.MovementType IN ('C-', 'C+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('C-', 'C+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,2944,Warehouse,Y,N,,,,40,M_Warehouse_ID,95E2A8B50A254B2AAE6774B8C2F28120,Y,Y,,22,,,,@Processed@='Y',OBUISEL_Selector Reference,org.openbravo.erpCommon.ad_callouts.SE_InOut_Warehouse
169,Goods Shipment,257,Header,0,10,"M_InOut.MovementType IN ('C-', 'C+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('C-', 'C+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,2928,Business Partner,Y,N,,,,50,C_BPartner_ID,30,Y,Y,,60,,,,@Processed@='Y' | @HAS_M_INOUTLINES@='Y',Search,org.openbravo.erpCommon.ad_callouts.SL_InOut_BPartner
169,Goods Shipment,257,Header,0,10,"M_InOut.MovementType IN ('C-', 'C+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('C-', 'C+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,2929,Partner Address,Y,N,,,,60,C_BPartner_Location_ID,19,Y,Y,,22,,,167,@Processed@='Y',TableDir,
169,Goods Shipment,257,Header,0,10,"M_InOut.MovementType IN ('C-', 'C+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('C-', 'C+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,2703,Description,Y,N,,,,70,Description,14,N,Y,,255,,,,,Text,
169,Goods Shipment,257,Header,0,10,"M_InOut.MovementType IN ('C-', 'C+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('C-', 'C+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,2706,Movement Date,Y,N,,,,80,MovementDate,15,Y,Y,@#Date@,10,,,,@Processed@='Y',Date,org.openbravo.erpCommon.ad_callouts.SL_InOut_AccountingDate
169,Goods Shipment,257,Header,0,10,"M_InOut.MovementType IN ('C-', 'C+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('C-', 'C+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,802713,Delivery Location,Y,N,,,,90,Delivery_Location_ID,18,N,Y,,22,,,167,,Table,
169,Goods Shipment,257,Header,0,10,"M_InOut.MovementType IN ('C-', 'C+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('C-', 'C+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,3280,Document Status,N,Y,,,,130,DocStatus,17,Y,N,DR,60,,,,,List,
169,Goods Shipment,257,Header,0,10,"M_InOut.MovementType IN ('C-', 'C+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('C-', 'C+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,2927,User/Contact,N,N,,,,180,AD_User_ID,19,N,Y,,22,,,123,@Processed@='Y',TableDir,
169,Goods Shipment,257,Header,0,10,"M_InOut.MovementType IN ('C-', 'C+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('C-', 'C+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,2935,Accounting Date,Y,N,,,,216,DateAcct,15,Y,Y,@#Date@,10,,,,@Posted@='Y',Date,
169,Goods Shipment,257,Header,0,10,"M_InOut.MovementType IN ('C-', 'C+') and M_InOut.isLogistic = 'N'",,,"e.movementType IN ('C-', 'C+') and e.logistic = 'N' and e.documentType.return=false",,,M_InOut,ShipmentInOut,,org.openbravo.model.materialmgmt.transaction,2932,Sales Order,Y,Y,,,,234,C_Order_ID,30,N,N,,60,,,,,Search,
