name,validation_code,tab_name,ad_tab_id
AEATSII_AcogidaSII2,"@SQL=(SELECT COALESCE((SELECT conf.insiisystem FROM aeatsii_config conf WHERE conf.ad_org_id = (SELECT AD_GET_ORG_LE_BU(@AD_Org_ID@,'LE') FROM dual)),'N') FROM dual)",Header,290
AEATSII_InSIIAndPostedInvoices,"@SQL=(SELECT COALESCE((CASE WHEN (SELECT conf.insiisystem FROM aeatsii_config conf WHERE conf.ad_org_id = (SELECT AD_GET_ORG_LE_BU(@AD_Org_ID@,'LE') FROM dual)) = 'N' THEN 'Y' ELSE (SELECT conf.posted_invoices FROM aeatsii_config conf WHERE conf.ad_org_id = (SELECT AD_GET_ORG_LE_BU(@AD_Org_ID@,'LE') FROM dual)) END),'Y') FROM dual)",Header,290
AEATSII_PreSII_Invoice,"@SQL=(SELECT (CASE WHEN to_date(to_char((SELECT i.dateacct from c_invoice i where i.c_invoice_id = @C_Invoice_ID@),'YYYY-MM-DD'),'YYYY-MM-DD') < to_date(to_char((SELECT conf.insiisystemdate FROM aeatsii_config conf WHERE conf.ad_org_id = (SELECT AD_GET_ORG_LE_BU(@AD_Org_ID@,'LE') FROM dual)),'YYYY-MM-DD'),'YYYY-MM-DD') THEN 'Y' ELSE 'N' END) FROM dual)",Header,290
DOCBASETYPE,"@SQL=select coalesce(max(docbasetype), 'API') from c_doctype where c_doctype_id = @c_doctypetarget_id@",Header,290
HAS_C_INVOICELINES,@SQL=select 'Y' from dual where exists (select 1 from c_invoiceline where c_invoice_id = @C_INVOICE_ID@),Header,290
IsReversalDocument,"@SQL=select isreversal
from c_doctype where c_doctype_id = @c_doctypetarget_id@",Header,290
showAddPayment,"@SQL=select case when sum(fpsd.amount)=ci.GrandTotal then 'N' else 'Y' end 
          from fin_payment_scheduledetail fpsd
                 join fin_payment_detail fpd on fpsd.fin_payment_detail_id=fpd.fin_payment_detail_id
                join fin_payment fp on fpd.fin_payment_id=fp.fin_payment_id
                join fin_payment_schedule ps ON ps.fin_payment_schedule_id = fpsd.fin_payment_schedule_invoice
                join c_invoice ci on ci.c_invoice_id=ps.c_invoice_id
                WHERE ps.c_invoice_id =@c_invoice_id@
                and to_number(aprm_seqnumberpaymentstatus(fp.status)) >= 40
                group by ci.GrandTotal",Header,290
TBAI_ExistConfigAndIsAvailable,"@SQL=SELECT CASE WHEN EXISTS (SELECT 1 FROM tbai_config conf WHERE TO_TIMESTAMP(@DateInvoiced@, 'DD-MM-YYYY') >= conf.tbaisystemdate AND ad_isorgincluded(@AD_Org_ID@, conf.ad_org_id, @AD_Client_ID@) <> -1 AND conf.isactive = 'Y') THEN 1 ELSE 0 END AS exists_result FROM DUAL",Header,290
VoidAutomaticallyCreated,@SQL=SELECT COUNT(*) FROM C_INVOICE_REVERSE WHERE C_INVOICE_ID=@C_INVOICE_ID@,Header,290
ATTRIBUTESET,@SQL=SELECT M_ATTRIBUTESET_ID FROM M_PRODUCT WHERE M_PRODUCT_ID=@M_Product_ID@,Lines,291
