ad_callout_id,callout_name,callout_class,columnname,ad_table_id
C3C0F857758A4D1698913BEE2E82969F,AddDefaultInfo,com.etendoerp.verifactu.ad_callouts.AddDefaultInfo,C_DocTypeTarget_ID,318
7C03CEC0EB4C4AE999E4EFEEEE38702D,SiiAuthorizationCallout,org.openbravo.module.sii.callouts.SiiAuthorizationCallout,EM_Aeatsii_Isauthorization,318
4F14D562BB0F48AF92EA6D769B734A0A,SiiDescriptionCallout,org.openbravo.module.sii.callouts.SiiDescriptionCallout,EM_Aeatsii_Pur_Description_ID,318
4F14D562BB0F48AF92EA6D769B734A0A,SiiDescriptionCallout,org.openbravo.module.sii.callouts.SiiDescriptionCallout,EM_Aeatsii_Description_ID,318
323C7EF38A754A5980DABC1482680EE3,SiiAutoinvoiceCallout,org.openbravo.module.sii.callouts.SiiAutoInvoiceCallout,EM_Aeatsii_Autofactura,318
D5BB7D2FC23F4D2E9A39E9292055A2FB,SE_Invoice_Organization,org.openbravo.erpCommon.ad_callouts.SE_Invoice_Organization,AD_Org_ID,318
105,SE_Invoice_BPartner,org.openbravo.erpCommon.ad_callouts.SE_Invoice_BPartner,C_BPartner_ID,318
FC0299E01341446C93A678644867E57A,SE_Invoice_BPartnerLocation,org.openbravo.erpCommon.ad_callouts.SE_Invoice_BPartnerLocation,C_BPartner_Location_ID,318
5B737680E16D42E6887B3099E2EFA961,SE_Invoice_TaxDate,org.openbravo.erpCommon.ad_callouts.SE_Invoice_TaxDate,DateAcct,318
106,SE_Invoice_Project,org.openbravo.erpCommon.ad_callouts.SE_Invoice_Project,C_Project_ID,318
FF8081812FBFF0CC012FBFF53E16000A,SE_Invoice_AccountingDate,org.openbravo.erpCommon.ad_callouts.SE_Invoice_AccountingDate,DateInvoiced,318
131,SL_Invoice_PriceList,org.openbravo.erpCommon.ad_callouts.SL_Invoice_PriceList,M_PriceList_ID,318
105,SE_Invoice_BPartner,org.openbravo.erpCommon.ad_callouts.SE_Invoice_BPartner,FIN_Paymentmethod_ID,318
132,SL_Invoice_Product,org.openbravo.erpCommon.ad_callouts.SL_Invoice_Product,M_Product_ID,333
127,SL_Invoice_Amt,org.openbravo.erpCommon.ad_callouts.SL_Invoice_Amt,QtyInvoiced,333
127,SL_Invoice_Amt,org.openbravo.erpCommon.ad_callouts.SL_Invoice_Amt,PriceActual,333
127,SL_Invoice_Amt,org.openbravo.erpCommon.ad_callouts.SL_Invoice_Amt,LineNetAmt,333
128,SL_Invoice_Charge_Tax,org.openbravo.erpCommon.ad_callouts.SL_Invoice_Charge_Tax,C_Charge_ID,333
127,SL_Invoice_Amt,org.openbravo.erpCommon.ad_callouts.SL_Invoice_Amt,C_Tax_ID,333
129,SL_Invoice_Conversion,org.openbravo.erpCommon.ad_callouts.SL_Invoice_Conversion,QuantityOrder,333
129,SL_Invoice_Conversion,org.openbravo.erpCommon.ad_callouts.SL_Invoice_Conversion,M_Product_Uom_Id,333
1AB9BD3356D643A79C058AA3B4EB175E,OperativeQuantity_To_BaseQuantity,org.openbravo.erpCommon.ad_callouts.OperativeQuantity_To_BaseQuantity,Aumqty,333
1AB9BD3356D643A79C058AA3B4EB175E,OperativeQuantity_To_BaseQuantity,org.openbravo.erpCommon.ad_callouts.OperativeQuantity_To_BaseQuantity,C_Aum,333
127,SL_Invoice_Amt,org.openbravo.erpCommon.ad_callouts.SL_Invoice_Amt,Gross_Unit_Price,333
127,SL_Invoice_Amt,org.openbravo.erpCommon.ad_callouts.SL_Invoice_Amt,CANCELPRICEAD,333
018982E40A7949429AE0E5C119BD89A4,SL_Invoice_Glitem,org.openbravo.erpCommon.ad_callouts.SL_Invoice_Glitem,Account_ID,333
800014,SL_InvoiceTax_Amt,org.openbravo.erpCommon.ad_callouts.SL_InvoiceTax_Amt,TaxBaseAmt,334
800014,SL_InvoiceTax_Amt,org.openbravo.erpCommon.ad_callouts.SL_InvoiceTax_Amt,TaxAmt,334
2E6FBBBAB13C4A66A36D5D0774522C3C,PaymentWarning,com.etendoerp.verifactu.ad_callouts.PaymentWarning,Reversed_C_Invoice_ID,43393FBD706A441D837C5CBA07D10ABE
FF80818130BD09B60130BD15FF1C000F,SE_CalculateExchangeRate,org.openbravo.erpCommon.ad_callouts.SE_CalculateExchangeRate,Foreign_Amount,FF808181308EA42301308FB5F7BC0049
FF80818130BD09B60130BD15FF1C000F,SE_CalculateExchangeRate,org.openbravo.erpCommon.ad_callouts.SE_CalculateExchangeRate,Rate,FF808181308EA42301308FB5F7BC0049
