ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,entity_classname,entity_alias,entity_javapackage,ad_field_id,field_name,isdisplayed,isreadonly,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
183,Purchase Invoice,290,Header,0,10,C_Invoice.IsSOTrx='N' and C_Invoice.IsActive = 'Y',,,e.salesTransaction=false and e.documentStatus <> 'TEMP' and e.active = 'Y',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,3321,Organization,Y,N,@ACCT_DIMENSION_DISPLAY@,,,10,AD_Org_ID,19,Y,N,@#AD_Org_ID@,22,,,49DC1D6F086945AB82F84C66F5F13F16,@Processed@='Y',TableDir,org.openbravo.erpCommon.ad_callouts.SE_Invoice_Organization
183,Purchase Invoice,290,Header,0,10,C_Invoice.IsSOTrx='N' and C_Invoice.IsActive = 'Y',,,e.salesTransaction=false and e.documentStatus <> 'TEMP' and e.active = 'Y',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,3344,Transaction Document,Y,N,,,,20,C_DocTypeTarget_ID,18,Y,Y,,22,,,124,@Processed@='Y',Table,com.etendoerp.verifactu.ad_callouts.AddDefaultInfo
183,Purchase Invoice,290,Header,0,10,C_Invoice.IsSOTrx='N' and C_Invoice.IsActive = 'Y',,,e.salesTransaction=false and e.documentStatus <> 'TEMP' and e.active = 'Y',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,3336,Document No.,Y,N,,,,30,DocumentNo,10,Y,Y,,30,,,,@Processed@='Y',String,
183,Purchase Invoice,290,Header,0,10,C_Invoice.IsSOTrx='N' and C_Invoice.IsActive = 'Y',,,e.salesTransaction=false and e.documentStatus <> 'TEMP' and e.active = 'Y',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,3348,Invoice Date,Y,N,,,,40,DateInvoiced,15,Y,Y,@#Date@,10,,,,@Posted@='Y' | (@Processed@='Y' & (@DocStatus@!'VO')),Date,org.openbravo.erpCommon.ad_callouts.SE_Invoice_AccountingDate
183,Purchase Invoice,290,Header,0,10,C_Invoice.IsSOTrx='N' and C_Invoice.IsActive = 'Y',,,e.salesTransaction=false and e.documentStatus <> 'TEMP' and e.active = 'Y',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,3325,Business Partner,Y,N,@ACCT_DIMENSION_DISPLAY@,,,50,C_BPartner_ID,30,Y,Y,,60,,,,@Processed@='Y' | @HAS_C_INVOICELINES@='Y',Search,org.openbravo.erpCommon.ad_callouts.SE_Invoice_BPartner
183,Purchase Invoice,290,Header,0,10,C_Invoice.IsSOTrx='N' and C_Invoice.IsActive = 'Y',,,e.salesTransaction=false and e.documentStatus <> 'TEMP' and e.active = 'Y',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,3326,Partner Address,Y,N,,,,60,C_BPartner_Location_ID,19,Y,Y,,22,,,119,@Processed@='Y',TableDir,org.openbravo.erpCommon.ad_callouts.SE_Invoice_BPartnerLocation
183,Purchase Invoice,290,Header,0,10,C_Invoice.IsSOTrx='N' and C_Invoice.IsActive = 'Y',,,e.salesTransaction=false and e.documentStatus <> 'TEMP' and e.active = 'Y',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,3350,Price List,Y,N,,,,70,M_PriceList_ID,19,Y,Y,,22,,,DB85A30739C3487988921CE3FFFD3BAD,@Processed@='Y',TableDir,org.openbravo.erpCommon.ad_callouts.SL_Invoice_PriceList
183,Purchase Invoice,290,Header,0,10,C_Invoice.IsSOTrx='N' and C_Invoice.IsActive = 'Y',,,e.salesTransaction=false and e.documentStatus <> 'TEMP' and e.active = 'Y',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,3333,Accounting Date,Y,N,,,,80,DateAcct,15,Y,Y,@#Date@,10,,,,@Posted@='Y',Date,org.openbravo.erpCommon.ad_callouts.SE_Invoice_TaxDate
183,Purchase Invoice,290,Header,0,10,C_Invoice.IsSOTrx='N' and C_Invoice.IsActive = 'Y',,,e.salesTransaction=false and e.documentStatus <> 'TEMP' and e.active = 'Y',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,3331,Payment Terms,Y,N,,,,90,C_PaymentTerm_ID,19,Y,Y,,22,,,,@Processed@='Y',TableDir,
183,Purchase Invoice,290,Header,0,10,C_Invoice.IsSOTrx='N' and C_Invoice.IsActive = 'Y',,,e.salesTransaction=false and e.documentStatus <> 'TEMP' and e.active = 'Y',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,830698140BCD4AC3E040007F01000289,Payment Method,Y,N,,,,100,FIN_Paymentmethod_ID,19,Y,Y,,32,,,FF80808130B107670130B1115F22000D,@Processed@='Y',TableDir,org.openbravo.erpCommon.ad_callouts.SE_Invoice_BPartner
