ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,entity_classname,entity_alias,entity_javapackage,ad_field_id,field_name,isdisplayed,isreadonly,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
167,Sales Invoice,263,Header,0,10,C_Invoice.IsSOTrx='Y',,,e.salesTransaction=true and e.documentStatus <> 'TEMP',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,2762,Organization,Y,N,@ACCT_DIMENSION_DISPLAY@,,,10,AD_Org_ID,19,Y,N,@#AD_Org_ID@,22,,,49DC1D6F086945AB82F84C66F5F13F16,@Processed@='Y',TableDir,org.openbravo.erpCommon.ad_callouts.SE_Invoice_Organization
167,Sales Invoice,263,Header,0,10,C_Invoice.IsSOTrx='Y',,,e.salesTransaction=true and e.documentStatus <> 'TEMP',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,2954,Transaction Document,Y,N,,,,20,C_DocTypeTarget_ID,18,Y,Y,,22,,,124,@Processed@='Y',Table,org.openbravo.erpCommon.ad_callouts.SL_Invoice_DocType
167,Sales Invoice,263,Header,0,10,C_Invoice.IsSOTrx='Y',,,e.salesTransaction=true and e.documentStatus <> 'TEMP',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,2779,Document No.,Y,N,,,,30,DocumentNo,10,Y,Y,,30,,,,@Processed@='Y',String,
167,Sales Invoice,263,Header,0,10,C_Invoice.IsSOTrx='Y',,,e.salesTransaction=true and e.documentStatus <> 'TEMP',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,2958,Invoice Date,Y,N,,,,40,DateInvoiced,15,Y,Y,@#Date@,10,,,,@Posted@='Y' | (@Processed@='Y' & (@DocStatus@!'VO')),Date,org.openbravo.erpCommon.ad_callouts.SE_Invoice_AccountingDate
167,Sales Invoice,263,Header,0,10,C_Invoice.IsSOTrx='Y',,,e.salesTransaction=true and e.documentStatus <> 'TEMP',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,2766,Business Partner,Y,N,@ACCT_DIMENSION_DISPLAY@,,,50,C_BPartner_ID,30,Y,Y,,60,,,,@Processed@='Y' | @HAS_C_INVOICELINES@='Y',Search,org.openbravo.erpCommon.ad_callouts.SE_Invoice_BPartner
167,Sales Invoice,263,Header,0,10,C_Invoice.IsSOTrx='Y',,,e.salesTransaction=true and e.documentStatus <> 'TEMP',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,2767,Partner Address,Y,N,,,,60,C_BPartner_Location_ID,19,Y,Y,,22,,,119,@Processed@='Y',TableDir,org.openbravo.erpCommon.ad_callouts.SE_Invoice_BPartnerLocation
167,Sales Invoice,263,Header,0,10,C_Invoice.IsSOTrx='Y',,,e.salesTransaction=true and e.documentStatus <> 'TEMP',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,2959,Description,Y,N,,,,70,Description,14,N,Y,,255,,,,,Text,
167,Sales Invoice,263,Header,0,10,C_Invoice.IsSOTrx='Y',,,e.salesTransaction=true and e.documentStatus <> 'TEMP',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,2774,Payment Terms,Y,N,,,,80,C_PaymentTerm_ID,19,Y,Y,,22,,,,@Processed@='Y',TableDir,
167,Sales Invoice,263,Header,0,10,C_Invoice.IsSOTrx='Y',,,e.salesTransaction=true and e.documentStatus <> 'TEMP',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,830698140BCE4AC3E040007F01000289,Payment Method,Y,N,,,,90,FIN_Paymentmethod_ID,19,Y,Y,,32,,,FF80808130B107670130B1115F22000D,@Processed@='Y',TableDir,org.openbravo.erpCommon.ad_callouts.SE_Invoice_BPartner
167,Sales Invoice,263,Header,0,10,C_Invoice.IsSOTrx='Y',,,e.salesTransaction=true and e.documentStatus <> 'TEMP',,,C_Invoice,Invoice,,org.openbravo.model.common.invoice,2778,Document Status,N,Y,,,,100,DocStatus,17,Y,N,DR,60,,,,,List,
