ad_callout_id,callout_name,callout_class,columnname,ad_table_id
1AB9BD3356D643A79C058AA3B4EB175E,OperativeQuantity_To_BaseQuantity,org.openbravo.erpCommon.ad_callouts.OperativeQuantity_To_BaseQuantity,Aumqty,260
1AB9BD3356D643A79C058AA3B4EB175E,OperativeQuantity_To_BaseQuantity,org.openbravo.erpCommon.ad_callouts.OperativeQuantity_To_BaseQuantity,C_Aum,260
107,SE_Order_BPartner,org.openbravo.erpCommon.ad_callouts.SE_Order_BPartner,C_BPartner_ID,259
B95E999B9C554E399A20B41D11657FDE,SE_Order_BPartnerLocation,org.openbravo.erpCommon.ad_callouts.SE_Order_BPartnerLocation,C_BPartner_Location_ID,259
D328D86B2E744A53A071047EA0FF5E4E,SE_Order_Organization,org.openbravo.erpCommon.ad_callouts.SE_Order_Organization,AD_Org_ID,259
108,SE_Order_Project,org.openbravo.erpCommon.ad_callouts.SE_Order_Project,C_Project_ID,259
117,SL_Charge,org.openbravo.erpCommon.ad_callouts.SL_Charge,C_Charge_ID,259
138,SL_Order_Amt,org.openbravo.erpCommon.ad_callouts.SL_Order_Amt,CANCELPRICEAD,260
138,SL_Order_Amt,org.openbravo.erpCommon.ad_callouts.SL_Order_Amt,C_Tax_ID,260
138,SL_Order_Amt,org.openbravo.erpCommon.ad_callouts.SL_Order_Amt,Discount,260
138,SL_Order_Amt,org.openbravo.erpCommon.ad_callouts.SL_Order_Amt,Gross_Unit_Price,260
138,SL_Order_Amt,org.openbravo.erpCommon.ad_callouts.SL_Order_Amt,LineNetAmt,260
138,SL_Order_Amt,org.openbravo.erpCommon.ad_callouts.SL_Order_Amt,M_AttributeSetInstance_ID,260
138,SL_Order_Amt,org.openbravo.erpCommon.ad_callouts.SL_Order_Amt,PriceActual,260
138,SL_Order_Amt,org.openbravo.erpCommon.ad_callouts.SL_Order_Amt,PriceList,260
138,SL_Order_Amt,org.openbravo.erpCommon.ad_callouts.SL_Order_Amt,QtyOrdered,260
139,SL_Order_Charge_Tax,org.openbravo.erpCommon.ad_callouts.SL_Order_Charge_Tax,C_Charge_ID,260
140,SL_Order_Conversion,org.openbravo.erpCommon.ad_callouts.SL_Order_Conversion,M_Product_Uom_Id,260
140,SL_Order_Conversion,org.openbravo.erpCommon.ad_callouts.SL_Order_Conversion,QuantityOrder,260
141,SL_Order_DocType,org.openbravo.erpCommon.ad_callouts.SL_Order_DocType,C_DocTypeTarget_ID,259
142,SL_Order_PriceList,org.openbravo.erpCommon.ad_callouts.SL_Order_PriceList,M_PriceList_ID,259
143,SL_Order_Product,org.openbravo.erpCommon.ad_callouts.SL_Order_Product,M_Product_ID,260
144,SL_Order_Tax,org.openbravo.erpCommon.ad_callouts.SL_Order_Tax,C_BPartner_Location_ID,260
BE4B8516395242B5BC072CDEAAD86163,SL_Order_UpdateLinesDate,org.openbravo.erpCommon.ad_callouts.SL_Order_UpdateLinesDate,DateOrdered,259
BE4B8516395242B5BC072CDEAAD86163,SL_Order_UpdateLinesDate,org.openbravo.erpCommon.ad_callouts.SL_Order_UpdateLinesDate,DatePromised,259
