ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,entity_classname,entity_alias,entity_javapackage,ad_field_id,field_name,isdisplayed,isreadonly,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3453,Organization,Y,N,@ACCT_DIMENSION_DISPLAY@,,,10,AD_Org_ID,19,Y,N,@#AD_Org_ID@,22,,,49DC1D6F086945AB82F84C66F5F13F16,@Processed@='Y',TableDir,org.openbravo.erpCommon.ad_callouts.SE_Order_Organization
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3428,Transaction Document,Y,N,,,,20,C_DocTypeTarget_ID,18,Y,Y,,22,,,133,@Processed@='Y' | @DocStatus@='TMP',Table,org.openbravo.erpCommon.ad_callouts.SL_Order_DocType
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3424,Document No.,Y,N,,,,30,DocumentNo,10,Y,Y,,30,,,,@Processed@='Y' | @DocStatus@='TMP',String,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3435,Order Date,Y,N,,,,40,DateOrdered,15,Y,Y,@#Date@,10,,,,@Processed@='Y',Date,org.openbravo.erpCommon.ad_callouts.SL_Order_UpdateLinesDate
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3419,Business Partner,Y,N,@ACCT_DIMENSION_DISPLAY@,,,50,C_BPartner_ID,30,Y,Y,,60,,,,@Processed@='Y' | @DocStatus@='TMP',Search,org.openbravo.erpCommon.ad_callouts.SE_Order_BPartner
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3458,Partner Address,Y,N,,,,60,C_BPartner_Location_ID,19,Y,Y,,22,,,167,@Processed@='Y' | @DocStatus@='TMP',TableDir,org.openbravo.erpCommon.ad_callouts.SE_Order_BPartnerLocation
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3451,Warehouse,Y,N,,,,70,M_Warehouse_ID,95E2A8B50A254B2AAE6774B8C2F28120,Y,Y,,22,,,,@Processed@='Y',OBUISEL_Selector Reference,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3436,Scheduled Delivery Date,Y,N,,,,80,DatePromised,15,Y,Y,@#Date@,10,,,,@Processed@='Y',Date,org.openbravo.erpCommon.ad_callouts.SL_Order_UpdateLinesDate
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,830698140BB84AC3E040007F01000289,Payment Method,Y,N,,,,90,FIN_Paymentmethod_ID,19,N,Y,,32,,,FF80808130B107670130B1115F22000D,@Processed@='Y',TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3439,Payment Terms,Y,N,,,,100,C_PaymentTerm_ID,19,Y,Y,,22,,,,@Processed@='Y',TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3420,Price List,Y,N,,,,110,M_PriceList_ID,19,Y,Y,,22,,,DB85A30739C3487988921CE3FFFD3BAD,@Processed@='Y' | @DocStatus@='TMP',TableDir,org.openbravo.erpCommon.ad_callouts.SL_Order_PriceList
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3425,Document Status,N,Y,,,,150,DocStatus,17,Y,N,DR,60,,,,,List,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3450,Total Gross Amount,N,Y,,,,160,GrandTotal,12,Y,N,,22,,,,,Amount,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3449,Total Net Amount,N,Y,,,,190,TotalLines,12,Y,N,,22,,,,,Amount,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3441,Currency,N,Y,,,,210,C_Currency_ID,19,Y,N,@C_Currency_ID@,22,,,,,TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3452,User/Contact,N,N,,,,300,AD_User_ID,19,N,Y,,22,,,123,@Processed@='Y',TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,800149,Delivery notes,Y,N,,,,328,Deliverynotes,14,N,Y,,2000,,,,,Text,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3429,Description,Y,N,,,,342,Description,14,N,Y,,255,,,,,Text,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3455,Order Reference,Y,N,,,,356,POReference,10,N,Y,,20,,,,,String,
