ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,entity_classname,entity_alias,entity_javapackage,ad_field_id,field_name,isdisplayed,isreadonly,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,2043,Organization,Y,N,,,,10,AD_Org_ID,19,Y,N,@AD_Org_ID@,22,,,,,TableDir,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,2094,Search Key,Y,N,,,,20,Value,10,Y,Y,,40,,,,,String,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,993,Name,Y,N,,,,30,Name,10,Y,Y,,60,,,,,String,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,994,Description,Y,N,,,,40,Description,10,N,Y,,255,,,,,String,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,995,Location / Address,Y,N,,,,50,C_Location_ID,30,Y,Y,,120,,,,,Search,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,86CA5FC377F44E19B90D4BB7B0024040,Return Bin,Y,N,,,,60,M_Returnlocator_ID,30,N,Y,,32,,,,,Search,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,CB9E32CCC775256DE040007F010001D6,Warehouse Rule,Y,N,,,,65,M_Warehouse_Rule_ID,19,N,Y,,32,,,,,TableDir,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,3781,Element separator,N,N,,,,70,Separator,10,Y,Y,*,1,,,,,String,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,06005FA0890493DAE050007F01006246,Allocated,Y,N,@StockReservations@!'',,,70,Isallocated,20,Y,Y,N,1,,,,,YesNo,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,800222,Shipment Vehicle,N,N,,,,80,IsShipper,20,N,Y,N,1,,,,,YesNo,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,997,Active,Y,N,,,,80,IsActive,20,Y,Y,Y,1,,,,,YesNo,org.openbravo.erpCommon.ad_callouts.SE_Locator_Activate
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,800223,Shipper Code,N,N,@isShipper@='Y',,,90,Shippercode,10,N,Y,,20,,,,,String,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,800239,From Document No.,N,N,@isShipper@='Y',,,100,FromDocumentNo,11,N,Y,,10,,,,,Integer,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,800240,To Document No.,N,N,@isShipper@='Y',,,110,ToDocumentNo,11,N,Y,,10,,,,,Integer,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,992,Warehouse,N,N,,,,,M_Warehouse_ID,13,Y,N,,32,,,,,ID,
139,Warehouse and Storage Bins,177,Warehouse,0,10,,,,,,,M_Warehouse,Warehouse,,org.openbravo.model.common.enterprise,996,Client,N,N,,,,,AD_Client_ID,19,Y,N,@AD_CLIENT_ID@,22,,,,,TableDir,
139,Warehouse and Storage Bins,178,Storage Bin,1,40,,,,,,,M_Locator,Locator,,org.openbravo.model.common.enterprise,2095,Search Key,Y,N,,,,10,Value,10,Y,Y,,40,,,,,String,
139,Warehouse and Storage Bins,178,Storage Bin,1,40,,,,,,,M_Locator,Locator,,org.openbravo.model.common.enterprise,1004,Row (X),Y,N,,,,20,X,10,Y,Y,,60,,,,,String,
139,Warehouse and Storage Bins,178,Storage Bin,1,40,,,,,,,M_Locator,Locator,,org.openbravo.model.common.enterprise,1005,Stack (Y),Y,N,,,,30,Y,10,Y,Y,,60,,,,,String,
139,Warehouse and Storage Bins,178,Storage Bin,1,40,,,,,,,M_Locator,Locator,,org.openbravo.model.common.enterprise,1006,Level (Z),Y,N,,,,40,Z,10,Y,Y,,60,,,,,String,
139,Warehouse and Storage Bins,178,Storage Bin,1,40,,,,,,,M_Locator,Locator,,org.openbravo.model.common.enterprise,3117,Relative Priority,Y,N,,,,50,PriorityNo,11,Y,Y,50,10,,,,,Integer,
139,Warehouse and Storage Bins,178,Storage Bin,1,40,,,,,,,M_Locator,Locator,,org.openbravo.model.common.enterprise,A3F6BE18250E443886905830B22B1E45,Barcode,Y,N,,,,60,Barcode,10,N,Y,,30,,,,,String,
139,Warehouse and Storage Bins,178,Storage Bin,1,40,,,,,,,M_Locator,Locator,,org.openbravo.model.common.enterprise,10DF1B99945642B58FB40BD89F0C748F,Inventory Status,Y,Y,,,,65,M_InventoryStatus_ID,95E2A8B50A254B2AAE6774B8C2F28120,Y,N,7B3DC15A20234C418D26EECDC5D59003,32,,,,,OBUISEL_Selector Reference,
139,Warehouse and Storage Bins,178,Storage Bin,1,40,,,,,,,M_Locator,Locator,,org.openbravo.model.common.enterprise,3815,Default,Y,N,,,,70,IsDefault,20,Y,Y,,1,,,,,YesNo,
139,Warehouse and Storage Bins,178,Storage Bin,1,40,,,,,,,M_Locator,Locator,,org.openbravo.model.common.enterprise,1001,Active,Y,N,,,,80,IsActive,20,Y,Y,Y,1,,,,,YesNo,org.openbravo.erpCommon.ad_callouts.SE_Locator_Activate
139,Warehouse and Storage Bins,178,Storage Bin,1,40,,,,,,,M_Locator,Locator,,org.openbravo.model.common.enterprise,D8C0AD0DE9D349B88C2817AF85513AAB,Change Status,Y,N,@Isvirtual@='N',,,160,Change_Status,28,Y,Y,N,1,,,,,Button,
