ad_table_id,ad_column_id,columnname,position
1011100000,1011100000,C_Order_Discount_ID,1
1011100000,1011100001,AD_Client_ID,2
1011100000,1011100002,AD_Org_ID,3
1011100000,1011100003,Isactive,4
1011100000,1011100004,Created,5
1011100000,1011100005,Createdby,6
1011100000,1011100006,Updated,7
1011100000,1011100007,Updatedby,8
1011100000,1011100008,C_Order_ID,9
1011100000,1011100009,C_Discount_ID,10
1011100000,1011100010,Line,11
1011100000,1011100011,Cascade,12
259,2161,C_Order_ID,1
259,2162,AD_Client_ID,2
259,2163,AD_Org_ID,3
259,2164,IsActive,4
259,2165,Created,5
259,2166,CreatedBy,6
259,2167,Updated,7
259,2168,UpdatedBy,8
259,3718,IsSOTrx,9
259,2169,DocumentNo,10
259,2170,DocStatus,11
259,2171,DocAction,12
259,2453,Processing,13
259,3398,Processed,14
259,2172,C_DocType_ID,15
259,2173,C_DocTypeTarget_ID,16
259,2174,Description,17
259,2177,IsDelivered,18
259,2178,IsInvoiced,19
259,2179,IsPrinted,20
259,4699,IsSelected,21
259,2186,SalesRep_ID,22
259,2181,DateOrdered,23
259,2182,DatePromised,24
259,3719,DatePrinted,25
259,2183,DateAcct,26
259,2762,C_BPartner_ID,27
259,2189,BillTo_ID,28
259,3400,C_BPartner_Location_ID,29
259,3045,POReference,30
259,4298,IsDiscountPrinted,31
259,2191,C_Currency_ID,32
259,4019,PaymentRule,33
259,2187,C_PaymentTerm_ID,34
259,2192,InvoiceRule,35
259,3721,DeliveryRule,36
259,3722,FreightCostRule,37
259,2195,FreightAmt,38
259,2196,DeliveryViaRule,39
259,2197,M_Shipper_ID,40
259,3046,C_Charge_ID,41
259,3047,ChargeAmt,42
259,2198,PriorityRule,43
259,2200,TotalLines,44
259,2201,GrandTotal,45
259,2202,M_Warehouse_ID,46
259,2204,M_PriceList_ID,47
259,4651,IsTaxIncluded,48
259,2454,C_Campaign_ID,49
259,3402,C_Project_ID,50
259,3403,C_Activity_ID,51
259,4650,Posted,52
259,2763,AD_User_ID,53
259,8765,CopyFrom,54
259,8764,DropShip_BPartner_ID,55
259,8766,DropShip_Location_ID,56
259,8763,DropShip_User_ID,57
259,8832,IsSelfService,58
259,9331,AD_OrgTrx_ID,59
259,9569,User1_ID,60
259,9568,User2_ID,61
259,800139,Deliverynotes,62
259,800140,C_Incoterms_ID,63
259,800141,Incotermsdescription,64
259,800274,Generatetemplate,65
259,802485,Delivery_Location_ID,66
259,803711,CopyFromPO,67
259,828EE0AE802C5FA1E040007F010067C7,FIN_Paymentmethod_ID,68
259,831B272EE4364C208EFA70098EDF29B4,FIN_Payment_Priority_ID,69
259,AF2B81F2F6CBCDB5E040007F01006F02,RM_PickFromShipment,70
259,AF2B81F2F6CDCDB5E040007F01006F02,RM_ReceiveMaterials,71
259,AF2B81F2F6CECDB5E040007F01006F02,RM_CreateInvoice,72
259,C66674DA045E47D1A50B3C5805326AB9,C_Return_Reason_ID,73
259,CCB0DDDAF34E4415B9DBEB51B4C36A33,RM_AddOrphanLine,74
259,1E2CDC6A59BF4277B0E0A5EA45332EE9,A_Asset_ID,75
259,98ADA80EF26D40C6A8FDB4FD9AFA6763,Calculate_Promotions,76
259,6CF3E69515CE4C3595538750AE208570,C_Costcenter_ID,77
259,154B76A81BCB4CD2AE569E0CC25A12FD,Convertquotation,78
259,E59D4BB7F1C342619CB4131FE4888FFA,C_Reject_Reason_ID,79
259,1E2AD60A472147B38A1C52F8CE473F19,validuntil,80
259,367DCAA9CF4442ADB9A76F6539102217,Quotation_ID,81
259,CE4E26D99C2EC060E040007F010027BD,SO_Res_Status,82
259,E071B334E376EEEBE040007F010016FA,Create_POLines,83
259,EBF93239BAC24CF19609CD1766D7B56C,Iscashvat,84
259,B22C83F80E9748D0B2E096984736918E,RM_Pickfromreceipt,85
259,9AEBE3623CCD4E6F820A2EB70F2F243D,Cancelandreplace,86
259,F8F6A13C5682DC4DE040007F01000363,EM_APRM_AddPayment,86
259,81DC33A710F7483DA6B47F9A654DC99E,EM_Aeatsii_Fecha_Operacion,93
259,51E299D6B5824EC480B524E1ED726985,Confirmcancelandreplace,94
259,50E460F9A753421FA0B3D59D0F1F8B8B,EM_Aeatsii_Descripcion_Sii,94
259,B51A586E40F64085806027AE460C27B5,EM_Etvfac_Reversed_Invoice,96
259,129F2530A63B4C7CA9AF17996732E6A4,Cancelledorder_id,97
259,801DA2A5D6C4436F8B0F26D0995189C4,EM_Etgo_Total_Discount,98
259,CB3A64CFC2B8471E91DBBF12A663D0FB,Replacedorder_id,98
259,F54BEAEAA4C04BDD9DC1448954589ED0,Iscancelled,101
259,E61022D568524DD78F02815F50092DB8,Replacementorder_ID,103
259,E97BA84C97A24937B99F9F01D6818B94,BPartner_ExtRef,106
259,9E82E728716246B393C40D2CDCA0133A,DeliveryStatus,
259,9B350DD4248848A7ACC12061D151E92D,DeliveryStatusPurchase,
259,B5B203AE8D674B8DABC6669419815CA7,InvoiceStatus,
259,9F1044EB393B4D60895532DB5D568BEE,PaymentStatus,
260,2205,C_OrderLine_ID,1
260,2206,AD_Client_ID,2
260,2207,AD_Org_ID,3
260,2208,IsActive,4
260,2209,Created,5
260,2210,CreatedBy,6
260,2211,Updated,7
260,2212,UpdatedBy,8
260,2213,C_Order_ID,9
260,2214,Line,10
260,2764,C_BPartner_ID,11
260,3404,C_BPartner_Location_ID,12
260,2216,DateOrdered,13
260,2217,DatePromised,14
260,2218,DateDelivered,15
260,2219,DateInvoiced,16
260,2220,Description,17
260,2221,M_Product_ID,18
260,2223,M_Warehouse_ID,19
260,3048,DirectShip,20
260,2222,C_UOM_ID,21
260,2224,QtyOrdered,22
260,2225,QtyReserved,23
260,2226,QtyDelivered,24
260,2227,QtyInvoiced,25
260,2229,M_Shipper_ID,26
260,2230,C_Currency_ID,27
260,2231,PriceList,28
260,2232,PriceActual,29
260,4022,PriceLimit,30
260,3723,LineNetAmt,31
260,4031,Discount,32
260,3049,FreightAmt,33
260,3050,C_Charge_ID,34
260,3051,ChargeAmt,35
260,2235,C_Tax_ID,36
260,6775,S_ResourceAssignment_ID,37
260,7812,Ref_OrderLine_ID,38
260,8767,M_AttributeSetInstance_ID,39
260,9868,IsDescription,40
260,800004,QuantityOrder,41
260,800003,M_Product_Uom_Id,42
260,801165,M_Offer_ID,43
260,801166,PriceStd,44
260,14814F507BF440C1A7A3A64D9066C49F,CANCELPRICEAD,45
260,68142DE975336AAFE040007F01012F8D,C_Order_Discount_ID,46
260,7E011D1981B2E366E040007F01013030,Iseditlinenetamt,47
260,7E28A3F0EA09F997E040007F01006F15,Taxbaseamt,48
260,AF2B81C4FC82B807E040007F01006F3D,M_Inoutline_ID,49
260,6769A5EF62DF47F3A68B04AF8298AA5A,C_Return_Reason_ID,50
260,EB0B8E4554EF4A9CA512B9C5FF4FFABF,Gross_Unit_Price,51
260,025E1896618449A4B30FE9CC729CC615,Line_Gross_Amount,52
260,C4EEB8D909C48483E040007F01001710,GrossPriceList,53
260,4BDAB25F4E75423DBF487DA8533282BD,C_Costcenter_ID,54
260,9E7E0CF74B80471094024EE8181BD14B,grosspricestd,55
260,6B6445E10CA84681A0C1B25C299F9CBA,A_Asset_ID,56
260,CB9E308EE8DFDCBAE040007F010001E7,M_Warehouse_Rule_ID,57
260,8CAD7261EEDA4B9399990094D1D285FB,User1_ID,58
260,E9612846B6F5472A8F64CF729E0B25AE,Quotationline_ID,59
260,69EFBAC452404EDCA43212FA04D9464D,User2_ID,60
260,CCCD60BB98EDDFF7E040007F01006A5A,Create_Reservation,61
260,B2023461A08649D58E5D144D4FC2C507,C_Project_ID,62
260,CE4DBA92A2E80C3CE040007F0100316C,SO_Res_Status,63
260,CE612A71B701D54AE040007F01001500,Manage_Reservation,64
260,CE87A0172A66C01CE040007F01003234,Manage_Prereservation,65
260,A8DDAF547BE745EEAB8967F47308486B,Explode,66
260,9E6D689864154F91B98ACB746EB9C507,BOM_Parent_ID,67
260,C724ECE5B05848489719C64111425FDB,Replacedorderline_id,68
260,4EA73125B044436198DB81CFF08E94D6,Print_Description,69
260,71F11E61216A4BD8A165B892D5904848,Overdue_Return_Days,70
260,33EFF29653024C0E99CAB3E79F01F205,Relate_Orderline,71
260,986686B366B044BD8C1E27B729EF9ABB,C_Aum,72
260,BAA3518A49E842DFB007FC6C2BDDCE64,Aumqty,73
260,E1D1BA1B8B0B43BBB14BEAF0C72EEA5D,Returnline,79
2DD801C1013F4E51B8C505F4760EDEA0,4062F31FF4644727A0A7C7299F8CD511,Intr_C_Orderline_ID,1
2DD801C1013F4E51B8C505F4760EDEA0,BE37A4F459CD44A3AD725C3DBDC18130,AD_Client_ID,2
2DD801C1013F4E51B8C505F4760EDEA0,938D2308064F495CB7A7D77AE300F3A5,AD_Org_ID,3
2DD801C1013F4E51B8C505F4760EDEA0,977E4030A4B0433C8EC9DED1A6D39CDB,Created,4
2DD801C1013F4E51B8C505F4760EDEA0,B10B72B88EB84924BEC6BA059077E4FE,Updated,5
2DD801C1013F4E51B8C505F4760EDEA0,EA18A8D5F4814B1EA2D7C99C850F76F3,Createdby,6
2DD801C1013F4E51B8C505F4760EDEA0,0677347AC5B24EAE9ADA8C549427CEE1,Updatedby,7
2DD801C1013F4E51B8C505F4760EDEA0,A95DF3D9DCFB4BD293BE890E9494B3F1,Isactive,8
2DD801C1013F4E51B8C505F4760EDEA0,7129E0F64FD444FEA9404AE86263F057,C_Orderline_ID,9
2DD801C1013F4E51B8C505F4760EDEA0,3667195681134BFFB35864348ACFC954,M_Product_ID,10
2DD801C1013F4E51B8C505F4760EDEA0,BF3F289FC47A47F59A7E81E478CD4634,C_Incoterms_ID,11
2DD801C1013F4E51B8C505F4760EDEA0,86C46A56FDD244B0810840807551928A,Transaction_Type,12
2DD801C1013F4E51B8C505F4760EDEA0,A67DBDFC84C942D987133F7D568100EC,Transportation_Type,13
2DD801C1013F4E51B8C505F4760EDEA0,1A4F64004E0045E58F1DF30237653E2F,Port,14
2DD801C1013F4E51B8C505F4760EDEA0,38D03E0C0D384FB094C38A1A75539A05,Statistical_Regime,15
2DD801C1013F4E51B8C505F4760EDEA0,CE675893192B4BBCA5930E25750AFE03,Orig_C_Country_ID,16
2DD801C1013F4E51B8C505F4760EDEA0,BACBE58B2BF8411B905EFF30FA8B5BA1,NC8_Code,17
2DD801C1013F4E51B8C505F4760EDEA0,D7C5DBFBA4004E9BB047A390618775E4,Hasunit,18
2DD801C1013F4E51B8C505F4760EDEA0,C444390E671F4D7DB3F5EC9668912756,Intr_C_Uom_ID,19
2DD801C1013F4E51B8C505F4760EDEA0,B7F061A10DE544948AEBC0301E0403E6,Conversion,20
2DD801C1013F4E51B8C505F4760EDEA0,20701E3AE4664F2B870559A88E188DFF,Netmass_Kg,21
314,521F8231190A6C29E040007F01001B31,C_OrderTax_ID,1
314,3355,C_Order_ID,2
314,3356,C_Tax_ID,3
314,3348,AD_Client_ID,4
314,3349,AD_Org_ID,5
314,3350,IsActive,6
314,3351,Created,7
314,3352,CreatedBy,8
314,3353,Updated,9
314,3354,UpdatedBy,10
314,3766,TaxBaseAmt,11
314,3767,TaxAmt,12
314,803239,Line,13
70E57DEA195843729FF303C9A71EBCA3,802DBB308CF6C960E040007F01001D1B,Fin_Payment_Sched_Ord_V_ID,1
70E57DEA195843729FF303C9A71EBCA3,802DBB308CF7C960E040007F01001D1B,AD_Client_ID,2
70E57DEA195843729FF303C9A71EBCA3,802DBB308CF8C960E040007F01001D1B,AD_Org_ID,3
70E57DEA195843729FF303C9A71EBCA3,802DBB308CF9C960E040007F01001D1B,Isactive,4
70E57DEA195843729FF303C9A71EBCA3,802DBB308CFAC960E040007F01001D1B,Created,5
70E57DEA195843729FF303C9A71EBCA3,802DBB308CFBC960E040007F01001D1B,Createdby,6
70E57DEA195843729FF303C9A71EBCA3,802DBB308CFCC960E040007F01001D1B,Updated,7
70E57DEA195843729FF303C9A71EBCA3,802DBB308CFDC960E040007F01001D1B,Updatedby,8
70E57DEA195843729FF303C9A71EBCA3,802DBB308CFEC960E040007F01001D1B,C_Invoice_ID,9
70E57DEA195843729FF303C9A71EBCA3,802DBB308CFFC960E040007F01001D1B,C_Order_ID,10
70E57DEA195843729FF303C9A71EBCA3,802DBB308D00C960E040007F01001D1B,Duedate,11
70E57DEA195843729FF303C9A71EBCA3,802DBB308D01C960E040007F01001D1B,FIN_Paymentmethod_ID,12
70E57DEA195843729FF303C9A71EBCA3,802DBB308D02C960E040007F01001D1B,Expected,13
70E57DEA195843729FF303C9A71EBCA3,802DBB308D03C960E040007F01001D1B,Received,14
70E57DEA195843729FF303C9A71EBCA3,802DBB308D04C960E040007F01001D1B,Outstanding,15
70E57DEA195843729FF303C9A71EBCA3,802DBB308D05C960E040007F01001D1B,C_Currency_ID,16
70E57DEA195843729FF303C9A71EBCA3,802DBB308D06C960E040007F01001D1B,Lastpayment,17
70E57DEA195843729FF303C9A71EBCA3,802DBB308D07C960E040007F01001D1B,Numberofpayments,18
70E57DEA195843729FF303C9A71EBCA3,51459B51FC494A6D90DF9D9CE5A89653,FIN_Payment_Priority_ID,19
70E57DEA195843729FF303C9A71EBCA3,81C4432CDC76416896A6421BA60A2324,Update_Payment_Plan,20
D6079A4A6C2542678D9A50114367B967,CA9E5C38D2EA7E11E040007F010067A6,M_Reservation_Stock_ID,1
D6079A4A6C2542678D9A50114367B967,CA9E5C38D2EB7E11E040007F010067A6,AD_Client_ID,2
D6079A4A6C2542678D9A50114367B967,CA9E5C38D2EC7E11E040007F010067A6,AD_Org_ID,3
D6079A4A6C2542678D9A50114367B967,CA9E5C38D2ED7E11E040007F010067A6,Isactive,4
D6079A4A6C2542678D9A50114367B967,CA9E5C38D2EE7E11E040007F010067A6,Created,5
D6079A4A6C2542678D9A50114367B967,CA9E5C38D2EF7E11E040007F010067A6,Createdby,6
D6079A4A6C2542678D9A50114367B967,CA9E5C38D2F07E11E040007F010067A6,Updated,7
D6079A4A6C2542678D9A50114367B967,CA9E5C38D2F17E11E040007F010067A6,Updatedby,8
D6079A4A6C2542678D9A50114367B967,CA9E5C38D2F27E11E040007F010067A6,M_Reservation_ID,9
D6079A4A6C2542678D9A50114367B967,CA9E5C38D2F47E11E040007F010067A6,C_Orderline_ID,11
D6079A4A6C2542678D9A50114367B967,CA9E5C38D2F57E11E040007F010067A6,Quantity,12
D6079A4A6C2542678D9A50114367B967,CA9E5C38D2F67E11E040007F010067A6,IsAllocated,13
D6079A4A6C2542678D9A50114367B967,CC2F9E8FD664D7CDE040007F01002E21,M_Locator_ID,15
D6079A4A6C2542678D9A50114367B967,CC2F9E8FD665D7CDE040007F01002E21,M_Attributesetinstance_ID,16
D6079A4A6C2542678D9A50114367B967,CC2F9E8FD666D7CDE040007F01002E21,ReleasedQty,17
DC63963AB3F1489BAAB5A9A7EFD1B407,78D16B5B1787661EE040007F010152F7,Fin_Payment_Detail_V_ID,1
DC63963AB3F1489BAAB5A9A7EFD1B407,78D16B5B1788661EE040007F010152F7,AD_Client_ID,2
DC63963AB3F1489BAAB5A9A7EFD1B407,78D16B5B1789661EE040007F010152F7,AD_Org_ID,3
DC63963AB3F1489BAAB5A9A7EFD1B407,78D16B5B178A661EE040007F010152F7,Isactive,4
DC63963AB3F1489BAAB5A9A7EFD1B407,78D16B5B178B661EE040007F010152F7,Created,5
DC63963AB3F1489BAAB5A9A7EFD1B407,78D16B5B178C661EE040007F010152F7,Createdby,6
DC63963AB3F1489BAAB5A9A7EFD1B407,78D16B5B178D661EE040007F010152F7,Updated,7
DC63963AB3F1489BAAB5A9A7EFD1B407,78D16B5B178E661EE040007F010152F7,Updatedby,8
DC63963AB3F1489BAAB5A9A7EFD1B407,7FF2234748E8844FE040007F01003861,Fin_Payment_Sched_Ord_V_Id,10
DC63963AB3F1489BAAB5A9A7EFD1B407,F20FDC4004064C7CB665BD655B0F307D,FIN_Payment_Sched_Inv_ID,11
DC63963AB3F1489BAAB5A9A7EFD1B407,5050E5D10E5B4D94BF36BEF4E578313B,FIN_Payment_Sched_Ord_ID,12
DC63963AB3F1489BAAB5A9A7EFD1B407,7FF2234748E9844FE040007F01003861,Invoiceno,13
DC63963AB3F1489BAAB5A9A7EFD1B407,7FF2234748EA844FE040007F01003861,Orderno,14
DC63963AB3F1489BAAB5A9A7EFD1B407,7FF2234748EB844FE040007F01003861,Paymentno,15
DC63963AB3F1489BAAB5A9A7EFD1B407,7FF2234748EC844FE040007F01003861,FIN_Payment_ID,16
DC63963AB3F1489BAAB5A9A7EFD1B407,7FF2234748ED844FE040007F01003861,Duedate,17
DC63963AB3F1489BAAB5A9A7EFD1B407,7FF2234748EE844FE040007F01003861,Invoicedamt,18
DC63963AB3F1489BAAB5A9A7EFD1B407,7FF2234748EF844FE040007F01003861,Expected,19
DC63963AB3F1489BAAB5A9A7EFD1B407,7FF2234748F0844FE040007F01003861,Paidamt,20
DC63963AB3F1489BAAB5A9A7EFD1B407,7FF2234748F1844FE040007F01003861,C_Bpartner_ID,21
DC63963AB3F1489BAAB5A9A7EFD1B407,7DC34559B3F7B45BE040007F0100784A,Fin_Paymentmethod_ID,22
DC63963AB3F1489BAAB5A9A7EFD1B407,7FF2234748F2844FE040007F01003861,Fin_Financial_Account_ID,23
DC63963AB3F1489BAAB5A9A7EFD1B407,E94E132EFCCC422CA9DB4E98BB648E92,C_Currency_ID,24
DC63963AB3F1489BAAB5A9A7EFD1B407,78D16B5B178F661EE040007F010152F7,Paymentdate,25
DC63963AB3F1489BAAB5A9A7EFD1B407,84BE5A55A365CEFEE040007F01000402,Glitemname,26
DC63963AB3F1489BAAB5A9A7EFD1B407,8D6169322485477F8D53E2E246723D3A,Writeoffamt,27
DC63963AB3F1489BAAB5A9A7EFD1B407,3DFAB9DBB8D143A3951271CBE02C224F,Finacc_Currency_ID,28
DC63963AB3F1489BAAB5A9A7EFD1B407,85072D35A21C4487A9B16A210878D3C8,Finacc_Txn_Convert_Rate,29
DC63963AB3F1489BAAB5A9A7EFD1B407,8DF9D8A154DC4353ACD4F91DA30CA06E,PaidConverted,30
DC63963AB3F1489BAAB5A9A7EFD1B407,91375A8F85DF48FFA962C940E9BAF889,ExpectedConverted,31
DC63963AB3F1489BAAB5A9A7EFD1B407,7299BF93D2984DF8932FE2800DA0ED2A,Iscanceled,32
DC63963AB3F1489BAAB5A9A7EFD1B407,20217D869BFD41938E250F7F7528E06F,C_Bpartner_Id_Dim,33
DC63963AB3F1489BAAB5A9A7EFD1B407,9C7C878101214039A2BEAE25ED564B4B,C_Activity_ID,34
DC63963AB3F1489BAAB5A9A7EFD1B407,29292D14E1CA4C2E9F1219D50AF35491,M_Product_ID,35
DC63963AB3F1489BAAB5A9A7EFD1B407,9FFD173571C74908A5F48C4C44C5E8C1,C_Campaign_ID,36
DC63963AB3F1489BAAB5A9A7EFD1B407,1C30BBC88DEA4E40831C616E1D34973B,C_Project_ID,37
DC63963AB3F1489BAAB5A9A7EFD1B407,A58DFDE11BF342779F8FAF40B84E8899,C_Salesregion_ID,38
DC63963AB3F1489BAAB5A9A7EFD1B407,C1DE4479A025001AE040007F01000C7E,Status,39
DC63963AB3F1489BAAB5A9A7EFD1B407,C8B98FF8B51C43F7B12E8C448B0A2725,EM_APRM_Displayed_Paymmeth_ID,40
DC63963AB3F1489BAAB5A9A7EFD1B407,47DC39551EA14F5E861296054B731B26,EM_APRM_Displayed_Acc_ID,41
E42DDB42FF0B4F82B1CF3C711B3F0DC0,7E562C34A0496EB2E040007F01001D67,C_Orderlinetax_ID,1
E42DDB42FF0B4F82B1CF3C711B3F0DC0,7E562C34A04A6EB2E040007F01001D67,C_Orderline_ID,2
E42DDB42FF0B4F82B1CF3C711B3F0DC0,7E562C34A04B6EB2E040007F01001D67,C_Tax_ID,3
E42DDB42FF0B4F82B1CF3C711B3F0DC0,7E562C34A04C6EB2E040007F01001D67,AD_Client_ID,4
E42DDB42FF0B4F82B1CF3C711B3F0DC0,7E562C34A04D6EB2E040007F01001D67,AD_Org_ID,5
E42DDB42FF0B4F82B1CF3C711B3F0DC0,7E562C34A04E6EB2E040007F01001D67,Isactive,6
E42DDB42FF0B4F82B1CF3C711B3F0DC0,7E562C34A04F6EB2E040007F01001D67,Created,7
E42DDB42FF0B4F82B1CF3C711B3F0DC0,7E562C34A0506EB2E040007F01001D67,Createdby,8
E42DDB42FF0B4F82B1CF3C711B3F0DC0,7E562C34A0516EB2E040007F01001D67,Updated,9
E42DDB42FF0B4F82B1CF3C711B3F0DC0,7E562C34A0526EB2E040007F01001D67,Updatedby,10
E42DDB42FF0B4F82B1CF3C711B3F0DC0,7E562C34A0536EB2E040007F01001D67,Taxbaseamt,11
E42DDB42FF0B4F82B1CF3C711B3F0DC0,7E562C34A0546EB2E040007F01001D67,Taxamt,12
