name,displaylogic,displaylogic_server,displaylogicgrid,readonlylogic,columnname
Discount %,,,,@Processed@='Y',Discount
Product,,,,@Processed@='Y',M_Product_ID
UOM,,,,@UomManagement@='Y',C_UOM_ID
Ordered Quantity,,,,@Processed@='Y' | (@IsSOTrx@='Y' & @ISLINKEDTOPRODUCT@='Y' & @PRODUCTTYPE@='S') | @UomManagement@='Y',QtyOrdered
Net List Price,@GROSSPRICE@='N',,,@Processed@='Y',PriceList
Net Unit Price,,,,@Processed@='Y' | @GROSSPRICE@='Y',PriceActual
Tax,,,,@Processed@='Y',C_Tax_ID
Client,,,,@Processed@='Y',AD_Client_ID
Line No.,,,,@Processed@='Y',Line
Order Date,@showMRPandProductionFields@='Y',,,,DateOrdered
Scheduled Delivery Date,@showMRPandProductionFields@='Y',,,,DatePromised
Organization,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',AD_Org_ID
Charge Amount,@HasCharge@='Y',,,@Processed@='Y',ChargeAmt
Direct shipment,,,,@Processed@='Y',DirectShip
Line Net Amount,,,,@Iseditlinenetamt@='N'|@GROSSPRICE@='Y',LineNetAmt
Attribute Set Value,(@ATTRIBUTESET@!''&@ATTRSETVALUETYPE@!'F')|(@M_AttributeSetInstance_ID@!''&@M_AttributeSetInstance_ID@!'0'),,,@Processed@='Y' | @ATTRIBUTESETINSTANCIABLE@='Y',M_AttributeSetInstance_ID
Project,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',C_Project_ID
Operative Quantity,@M_Product_Uom_Id@='',@UomManagement@='Y',,@Processed@='Y',Aumqty
Alternative UOM,@M_Product_Uom_Id@='',@UomManagement@='Y',,@Processed@='Y',C_Aum
Line Gross Amount,@GROSSPRICE@='Y',,,,Line_Gross_Amount
Asset,@$Element_AS@='Y',,,@Posted@='Y',A_Asset_ID
Alternate Taxable Amount,@UsesAlternate@='Y',,,@Processed@='Y',Taxbaseamt
2nd Dimension,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',User2_ID
Gross Unit Price,@GROSSPRICE@='Y',,,@Processed@='Y' | @GROSSPRICE@='N',Gross_Unit_Price
Gross List Price,@GROSSPRICE@='Y',,,,GrossPriceList
Create Reservation,,,,@processed@='Y',Create_Reservation
Manage Prereservation,@DOCSTATUS@='CO'&@StockReservations@!'',,,,Manage_Prereservation
1st Dimension,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',User1_ID
Explode,@IsStocked@='N' & @isBOM@='Y' & @explode@!'Y' & @Processed@='N',,,,Explode
Cost Center,@ACCT_DIMENSION_DISPLAY@,,,@Posted@='Y',C_Costcenter_ID
Warehouse,@DirectShip@='N',,,@OrderType@!'SO',M_Warehouse_ID
Reserved Quantity,@OrderType@='OB' | @OrderType@='SO' | @OrderType@='PO',,,,QtyReserved
Delivered Quantity,@Processed@='Y' & @IsStocked@ = 'Y',,,,QtyDelivered
