mechanism,process_id,obuiapp_process_id,name,classname,column_name
classic_process,9EB2228A60684C0DBEC12D5CD8D85218,,Calculate Promotions,,Calculate_Promotions
classic_process,800024,,Change Debt Payment,,Changesettlementcancel
classic_process,211,,Copy Lines,ad_actionButton/CopyFromOrder_FS.html,CopyFrom
classic_process,800022,,Copy Product Template,,Generatetemplate
classic_process,FF80808133362F6A013336781FCE0066,,Create Invoice,,RM_CreateInvoice
classic_process,A3FE1F9892394386A49FB707AA50A0FA,,Create Order,,Convertquotation
classic_process,DFC78024B1F54CBB95DC73425BA6687F,,Explode,,Explode
classic_process,23D1B163EC0B41F790CE39BF01DA320E,,Insert Orphan Line,,RM_AddOrphanLine
classic_process,104,,Process Order,,Processing
classic_process,104,,Process Order,,DocAction
classic_process,FB740AB61B0E42B198D2C88D3A0D0CE6,,Update Payment Plan,,Update_Payment_Plan
obuiapp_process,,9BED7889E1034FE68BD85D5D16857320,Add Payment,org.openbravo.advpaymentmngt.actionHandler.AddPaymentActionHandler,EM_APRM_AddPayment
obuiapp_process,,A2FAF49712D1445ABE750315CE1B473A,Cancel and Replace Sales Order,org.openbravo.common.actionhandler.CancelAndReplaceSalesOrder,Cancelandreplace
obuiapp_process,,0C2AFAEFB67B4CB8A1429195EB119A49,Confirm Cancel and Replace Sales Order,org.openbravo.common.actionhandler.ConfirmCancelAndReplaceSalesOrder,Confirmcancelandreplace
obuiapp_process,,8B81D80B06364566B87853FEECAB5DE0,Copy from Orders,org.openbravo.common.actionhandler.CopyFromOrdersActionHandler,CopyFromPO
obuiapp_process,,6995A4C2592D434A9E16B71E1694CBCA,Create Purchase Order Lines,org.openbravo.common.actionhandler.OrderCreatePOLines,Create_POLines
obuiapp_process,,70E42AD47E5F4698A9ACCCAF3EB72B9E,Manage Prereservation Pick and Edit,org.openbravo.common.actionhandler.ManagePrereservationActionHandler,Manage_Prereservation
obuiapp_process,,5F547560D3DE401AA0B570F22E2C6C06,Manage Reservation Pick and Edit,org.openbravo.common.actionhandler.ManageReservationActionHandler,Manage_Reservation
obuiapp_process,,57496FB9CF9E4E8F847224017941570E,Post,com.smf.jobs.defaults.Post,Posted
obuiapp_process,,A2C19D0EF6594D14A64BC62E99A89CC3,RFC/RTV HQL Pick and Edit Lines,org.openbravo.common.actionhandler.SRMOPickEditLines,RM_PickFromShipment
obuiapp_process,,A2C19D0EF6594D14A64BC62E99A89CC3,RFC/RTV HQL Pick and Edit Lines,org.openbravo.common.actionhandler.SRMOPickEditLines,RM_Pickfromreceipt
obuiapp_process,,C4265E27C8134096B49DFBF69369DFC6,Service Order Line Relation Pick and Edit,org.openbravo.common.actionhandler.ServiceOrderLineRelate,Relate_Orderline
tab_process,1000500002,,Print orders process,,
