ad_window_id,window_name,ad_tab_id,tab_name,tablevel,tab_seq,whereclause,orderbyclause,filterclause,hqlwhereclause,hqlorderbyclause,hqlfilterclause,tablename,entity_classname,entity_alias,entity_javapackage,ad_field_id,field_name,field_isactive,isdisplayed,isreadonly,isshowninstatusbar,displaylogic,displaylogic_server,displaylogicgrid,field_seq,columnname,ad_reference_id,ismandatory,isupdateable,defaultvalue,fieldlength,valuemin,valuemax,ad_val_rule_id,readonlylogic,reference_name,callout_class
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3453,Organization,Y,Y,N,N,@ACCT_DIMENSION_DISPLAY@,,,10,AD_Org_ID,19,Y,N,@#AD_Org_ID@,22,,,49DC1D6F086945AB82F84C66F5F13F16,@Processed@='Y',TableDir,org.openbravo.erpCommon.ad_callouts.SE_Order_Organization
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3428,Transaction Document,Y,Y,N,N,,,,20,C_DocTypeTarget_ID,18,Y,Y,,22,,,133,@Processed@='Y' | @DocStatus@='TMP',Table,org.openbravo.erpCommon.ad_callouts.SL_Order_DocType
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3424,Document No.,Y,Y,N,N,,,,30,DocumentNo,10,Y,Y,,30,,,,@Processed@='Y' | @DocStatus@='TMP',String,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,AF2B81C4FC84B807E040007F01006F3D,Generate template,N,N,N,N,,,,30,Generatetemplate,28,N,Y,,1,,,,,Button,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,08B93CE952F0413BA28CA7F280CD8E96,C_Return_Reason_ID,N,N,N,N,,,,40,C_Return_Reason_ID,19,N,Y,,32,,,88C0B1F928434B4EAAA9D07B2D2F63E1,,TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3435,Order Date,Y,Y,N,N,,,,40,DateOrdered,15,Y,Y,@#Date@,10,,,,@Processed@='Y',Date,org.openbravo.erpCommon.ad_callouts.SL_Order_UpdateLinesDate
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3419,Business Partner,Y,Y,N,N,@ACCT_DIMENSION_DISPLAY@,,,50,C_BPartner_ID,30,Y,Y,,60,,,,@Processed@='Y' | @DocStatus@='TMP',Search,org.openbravo.erpCommon.ad_callouts.SE_Order_BPartner
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3458,Partner Address,Y,Y,N,N,,,,60,C_BPartner_Location_ID,19,Y,Y,,22,,,167,@Processed@='Y' | @DocStatus@='TMP',TableDir,org.openbravo.erpCommon.ad_callouts.SE_Order_BPartnerLocation
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3451,Warehouse,Y,Y,N,N,,,,70,M_Warehouse_ID,95E2A8B50A254B2AAE6774B8C2F28120,Y,Y,,22,,,,@Processed@='Y',OBUISEL_Selector Reference,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,AF2B81C4FC88B807E040007F01006F3D,RM_PickFromShipment,N,Y,N,N,,,,70,RM_PickFromShipment,28,N,Y,,1,,,,,Button,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3436,Scheduled Delivery Date,Y,Y,N,N,,,,80,DatePromised,15,Y,Y,@#Date@,10,,,,@Processed@='Y',Date,org.openbravo.erpCommon.ad_callouts.SL_Order_UpdateLinesDate
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,830698140BB84AC3E040007F01000289,Payment Method,Y,Y,N,N,,,,90,FIN_Paymentmethod_ID,19,N,Y,,32,,,FF80808130B107670130B1115F22000D,@Processed@='Y',TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,AF2B81C4FC8AB807E040007F01006F3D,RM_ReceiveMaterials,N,N,N,N,,,,90,RM_ReceiveMaterials,28,N,Y,,1,,,,,Button,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,3439,Payment Terms,Y,Y,N,N,,,,100,C_PaymentTerm_ID,19,Y,Y,,22,,,,@Processed@='Y',TableDir,
181,Purchase Order,294,Header,0,10,C_Order.IsSOTrx='N',,,e.salesTransaction=false AND e.transactionDocument.return=false,,,C_Order,Order,,org.openbravo.model.common.order,AF2B81C4FC8BB807E040007F01006F3D,Create Invoice,N,N,N,N,,,,100,RM_CreateInvoice,28,N,Y,,60,,,,,Button,
